LRP6,TCF3,AXIN1,FZD3,GSK3A,KRAS,APC,CTNNB1
-0.525797518,0.932298755,1.015589462,-0.788298899,1.321827151,0.180960666,-0.119385947,-0.161687967
-0.98586981,-0.1315958,-0.155773742,-0.304483886,-0.10851638,1.420906139,-1.247289511,-0.97741935
-1.266955523,-0.342263282,-0.903990985,-0.648638588,0.554593386,-0.028654947,-0.881753541,0.33038825
0.0765898,0.302860795,-0.029140006,-0.537456379,-0.987416222,-0.478952549,-0.215276051,-1.0446637
2.309033635,-0.79638418,1.254021401,-0.723405618,0.462495171,1.893589402,1.364996906,1.236711772
0.559877287,3.057505641,-0.478012682,0.124711136,-0.675585936,0.028944765,-0.368126519,-0.691516305
-0.158965595,0.205434924,0.479511713,-0.000527729,0.686985904,0.72361773,-0.119731314,0.060358402
1.303741979,-0.659792435,-0.005194391,0.083566114,-0.380400527,2.188846624,0.861903604,0.574974158
0.523142053,1.258133129,0.824682082,-0.661393513,-0.040064644,-0.347798656,-0.104718695,-0.962588714
0.243329259,0.517986889,2.090348504,0.122703581,0.294404816,1.733769076,0.220282875,1.577710149
-2.200945965,4.360861103,0.580965573,2.015421521,0.240725418,-2.944661475,-1.736395888,0.622728048
3.359893225,0.275280454,0.512443968,16.57406553,-7.053811963,-1.369406182,-0.788050397,15.22815751
-0.379954411,3.429545844,0.349128295,0.843276504,-1.097368933,-2.603176138,-2.294160909,3.491647408
2.85408958,5.364915875,-0.390552327,8.586041952,-2.007058993,-3.046566498,-0.614910595,4.195425963
3.351734771,8.522518306,-1.775636473,13.80280147,-0.909434813,-3.338260396,-1.886558119,13.97565299
1.051479097,1.302058751,0.675595139,8.172839699,0.101289311,0.562041491,-0.523311078,1.5371183
-0.112668131,3.328934502,-1.054676097,1.139387049,-0.809940633,-2.094214365,-0.995947282,0.163365599
1.414473037,-0.337128831,2.86310617,0.870765462,-0.161870068,-2.408544785,-1.621210268,5.705292668
-2.251748546,2.982469483,1.758501822,5.265377722,-2.203484258,-3.346802375,-2.554675772,8.037261816
0.790637287,3.16870835,3.172912509,3.501785397,2.724504965,-2.552843926,-0.40595619,1.114415956
